,pdb,natoms,parKVFinder_01,parKVFinder_02,parKVFinder_04,parKVFinder_08,parKVFinder_12,parKVFinder_16,parKVFinder_20,parKVFinder_24,pyKVFinder_01,pyKVFinder_02,pyKVFinder_04,pyKVFinder_08,pyKVFinder_12,pyKVFinder_16,pyKVFinder_20,pyKVFinder_24,pyKVFinder-depth_01,pyKVFinder-depth_02,pyKVFinder-depth_04,pyKVFinder-depth_08,pyKVFinder-depth_12,pyKVFinder-depth_16,pyKVFinder-depth_20,pyKVFinder-depth_24,pyKVFinder-hydropathy_01,pyKVFinder-hydropathy_02,pyKVFinder-hydropathy_04,pyKVFinder-hydropathy_08,pyKVFinder-hydropathy_12,pyKVFinder-hydropathy_16,pyKVFinder-hydropathy_20,pyKVFinder-hydropathy_24
0,1A1X_A,880,2.434,1.4087,0.8452,0.6613,0.5834,0.5399,0.52,0.4997,2.2602,1.4077,0.9477,0.8092,0.7268,0.6614,0.6094,0.5858,2.2602,1.4077,0.9477,0.8092,0.7268,0.6614,0.6094,0.5858,2.2602,1.4077,0.9477,0.8092,0.7268,0.6614,0.6094,0.5858
1,1A5T_A,2770,6.6593,4.1323,2.5758,2.0407,1.817,1.7592,1.6817,1.6181,5.272,3.2637,2.1714,1.8179,1.5439,1.4416,1.3388,1.2626,5.272,3.2637,2.1714,1.8179,1.5439,1.4416,1.3388,1.2626,5.272,3.2637,2.1714,1.8179,1.5439,1.4416,1.3388,1.2626
2,1A96_D,1085,3.6471,2.1976,1.2928,0.9557,0.8304,0.8003,0.7491,0.725,3.1008,1.8831,1.249,1.0636,0.9538,0.884,0.8347,0.7912,3.1008,1.8831,1.249,1.0636,0.9538,0.884,0.8347,0.7912,3.1008,1.8831,1.249,1.0636,0.9538,0.884,0.8347,0.7912
3,1AM2_A,1373,3.3416,2.0091,1.2149,0.9547,0.8425,0.7908,0.7492,0.7211,2.9299,1.8267,1.2238,1.0231,0.9113,0.8119,0.7544,0.7321,2.9299,1.8267,1.2238,1.0231,0.9113,0.8119,0.7544,0.7321,2.9299,1.8267,1.2238,1.0231,0.9113,0.8119,0.7544,0.7321
4,1AMX_A,1356,3.0363,1.7843,1.0615,0.8208,0.7092,0.656,0.6233,0.5979,2.7085,1.6795,1.1352,0.9474,0.8051,0.7649,0.7147,0.6777,2.7085,1.6795,1.1352,0.9474,0.8051,0.7649,0.7147,0.6777,2.7085,1.6795,1.1352,0.9474,0.8051,0.7649,0.7147,0.6777
5,1AOC_A,1377,4.4437,2.7378,1.6191,1.3231,1.1618,1.0884,1.0383,0.9988,3.6131,2.3122,1.5899,1.289,1.1799,1.0557,0.9702,0.9199,3.6131,2.3122,1.5899,1.289,1.1799,1.0557,0.9702,0.9199,3.6131,2.3122,1.5899,1.289,1.1799,1.0557,0.9702,0.9199
6,1AVO_B,1147,4.6241,2.8029,1.5458,1.3105,1.1636,1.0649,0.9936,0.9407,3.8007,2.3683,1.6065,1.4314,1.3165,1.1776,1.0865,1.0226,3.8007,2.3683,1.6065,1.4314,1.3165,1.1776,1.0865,1.0226,3.8007,2.3683,1.6065,1.4314,1.3165,1.1776,1.0865,1.0226
7,1B4F_F,614,2.0486,1.1443,0.649,0.5289,0.4657,0.4243,0.3957,0.3774,2.0008,1.2438,0.915,0.7687,0.6626,0.6191,0.647,0.5756,2.0008,1.2438,0.915,0.7687,0.6626,0.6191,0.647,0.5756,2.0008,1.2438,0.915,0.7687,0.6626,0.6191,0.647,0.5756
8,1B63_A,2617,6.8845,4.289,2.8365,2.2041,1.9832,1.975,1.8764,1.8247,5.3051,3.2933,2.1231,1.7753,1.5366,1.4465,1.3502,1.2879,5.3051,3.2933,2.1231,1.7753,1.5366,1.4465,1.3502,1.2879,5.3051,3.2933,2.1231,1.7753,1.5366,1.4465,1.3502,1.2879
9,1BCP_B,1528,3.9878,2.4586,1.4913,1.139,1.0375,0.9723,0.9248,0.8895,3.4425,2.1227,1.3607,1.1701,1.038,0.9512,0.8865,0.8467,3.4425,2.1227,1.3607,1.1701,1.038,0.9512,0.8865,0.8467,3.4425,2.1227,1.3607,1.1701,1.038,0.9512,0.8865,0.8467
10,1BJA_A,710,2.4105,1.3772,0.8025,0.6223,0.5466,0.4922,0.4673,0.4456,2.1935,1.3651,0.958,0.7926,0.6961,0.676,0.6285,0.6109,2.1935,1.3651,0.958,0.7926,0.6961,0.676,0.6285,0.6109,2.1935,1.3651,0.958,0.7926,0.6961,0.676,0.6285,0.6109
11,1BTE_A,738,2.2516,1.2844,0.7522,0.5712,0.5008,0.4603,0.43,0.4149,2.0954,1.2841,0.9096,0.759,0.6696,0.6344,0.6085,0.5743,2.0954,1.2841,0.9096,0.759,0.6696,0.6344,0.6085,0.5743,2.0954,1.2841,0.9096,0.759,0.6696,0.6344,0.6085,0.5743
12,1BU3_A,799,2.2626,1.3114,0.8037,0.6249,0.5475,0.5107,0.494,0.4687,2.1167,1.3196,0.913,0.7915,0.6823,0.6397,0.6146,0.5995,2.1167,1.3196,0.913,0.7915,0.6823,0.6397,0.6146,0.5995,2.1167,1.3196,0.913,0.7915,0.6823,0.6397,0.6146,0.5995
13,1CFB_A,1629,4.6222,2.7846,1.5816,1.3164,1.139,1.0491,0.9968,0.946,3.8397,2.4015,1.5415,1.3355,1.2073,1.0678,1.0242,0.9408,3.8397,2.4015,1.5415,1.3355,1.2073,1.0678,1.0242,0.9408,3.8397,2.4015,1.5415,1.3355,1.2073,1.0678,1.0242,0.9408
14,1CS0_C,8159,16.9357,12.4208,9.2014,8.1614,7.7084,7.4263,7.2931,7.2912,10.644,6.4434,4.0409,3.302,2.8179,2.6382,2.4902,2.4101,10.644,6.4434,4.0409,3.302,2.8179,2.6382,2.4902,2.4101,10.644,6.4434,4.0409,3.302,2.8179,2.6382,2.4902,2.4101
15,1CVJ_F,1028,2.9398,1.7287,1.0413,0.8206,0.7249,0.6697,0.6378,0.6119,2.6233,1.6397,1.1179,0.9325,0.8193,0.7593,0.7102,0.6777,2.6233,1.6397,1.1179,0.9325,0.8193,0.7593,0.7102,0.6777,2.6233,1.6397,1.1179,0.9325,0.8193,0.7593,0.7102,0.6777
16,1D2N_A,1929,5.4467,3.3508,2.0848,1.6163,1.5,1.4078,1.3245,1.2888,4.4515,2.7806,1.8528,1.5996,1.4148,1.2364,1.1489,1.0801,4.4515,2.7806,1.8528,1.5996,1.4148,1.2364,1.1489,1.0801,4.4515,2.7806,1.8528,1.5996,1.4148,1.2364,1.1489,1.0801
17,1D2P_A,2985,9.2116,5.7826,3.7078,2.9579,2.684,2.5427,2.4756,2.4247,6.9922,4.4983,2.9942,2.4762,2.1492,1.9578,1.8586,1.7369,6.9922,4.4983,2.9942,2.4762,2.1492,1.9578,1.8586,1.7369,6.9922,4.4983,2.9942,2.4762,2.1492,1.9578,1.8586,1.7369
18,1DD3_A,944,3.1016,1.8293,1.032,0.7431,0.6395,0.6232,0.5893,0.5605,2.8436,1.7843,1.1842,0.9598,0.8401,0.7639,0.7324,0.6992,2.8436,1.7843,1.1842,0.9598,0.8401,0.7639,0.7324,0.6992,2.8436,1.7843,1.1842,0.9598,0.8401,0.7639,0.7324,0.6992
19,1DGJ_A,6854,16.3303,11.8262,8.7847,7.9527,7.4706,7.1743,6.8756,6.9467,10.3432,6.2543,4.2224,3.5495,3.3142,3.24,3.2719,3.0807,10.3432,6.2543,4.2224,3.5495,3.3142,3.24,3.2719,3.0807,10.3432,6.2543,4.2224,3.5495,3.3142,3.24,3.2719,3.0807
20,1DYP_A,2201,5.0629,3.1016,1.8868,1.5502,1.3411,1.2707,1.2076,1.1717,4.1072,2.6055,1.7513,1.4473,1.3071,1.1417,1.0767,1.0236,4.1072,2.6055,1.7513,1.4473,1.3071,1.1417,1.0767,1.0236,4.1072,2.6055,1.7513,1.4473,1.3071,1.1417,1.0767,1.0236
21,1E5R_A,2109,5.2679,3.2813,1.9495,1.6428,1.5004,1.4209,1.3637,1.3042,4.2029,2.5758,1.6865,1.4542,1.3269,1.1775,1.0935,1.0237,4.2029,2.5758,1.6865,1.4542,1.3269,1.1775,1.0935,1.0237,4.2029,2.5758,1.6865,1.4542,1.3269,1.1775,1.0935,1.0237
